RSID,Gene,Type,Outcome,Link
rs12137730,TAS1R2,Taste,Preference for sweet,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs2499729,GRM4,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs3778045,GRM4,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs4908563,TAS1R1,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs11759763,GRM4,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs2451328,GRM5,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs2451361,GRM6,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs2499682,GRM7,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs2499729,GRM8,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs7772932,GRM9,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs937039,GRM10,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs9380406,GRM11,Taste,Preference for umami,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs150908,TRPV1,Taste,Preference for salty,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs161386,TRPV2,Taste,Preference for salty,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs222745,TRPV3,Taste,Preference for salty,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs150908,TRPV4,Taste,Preference for salty,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs2301151,GPR40,Taste,Preference for fat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs3211816	,CD36,Taste,Preference for fat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs236512,KCNJ2,Taste,Preference for sour,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs236514,KCNJ2,Taste,Preference for sour,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs376184,ASIC1,Taste,Preference for sour,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs643637,KCNJ2,Taste,Preference for sour,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs713598,TAS2R38,Food,Aversion of bitter vegetables,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs713599,TAS2R39,Food,Preference for sweet vegetables,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115723/
rs72921001,OR6A2,Food,Aversion of cilantro (tastes soapy),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6722914/
rs9276975,HLA-DOA,Food,White wine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6722914/
rs28849980,CCRN4L,Food,Artichokes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6722914/
rs28849980,ADAMTS19-CHSY3,Food,Artichokes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6722914/
rs8034691,LOC100128714,Food,Artichokes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6722914/
